,department,department_name,division,gender,base_salary,overtime_pay,longevity_pay,pay_grade
96,ABS,Alcohol Beverage Services,Montrose,M,72193.58,0.00,0.00,21
97,ABS,Alcohol Beverage Services,Silver Spring,M,78902.00,0.00,0.00,18
98,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,62488.00,0.00,1262.00,13
99,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,64206.13,5022.10,0.00,15
100,ABS,Alcohol Beverage Services,Cabin John,F,77956.27,168.66,0.00,18
101,ABS,Alcohol Beverage Services,Darnestown,M,85927.35,170.42,0.00,21
102,ABS,Alcohol Beverage Services,Downtown Rockville,M,65464.00,919.12,2041.22,14
103,ABS,Alcohol Beverage Services,Muddy Branch,M,86691.40,753.37,0.00,21
104,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90080.58,0.00,0.00,21
105,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,68575.00,1080.54,2138.40,15
106,ABS,Alcohol Beverage Services,Wheaton,M,90848.00,0.00,0.00,21
107,ABS,Alcohol Beverage Services,Darnestown,F,29830.00,602.55,0.00,12
108,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,53246.64,745.62,0.00,13
109,ABS,Alcohol Beverage Services,Flower Avenue,F,61264.59,0.00,0.00,18
110,ABS,Alcohol Beverage Services,Kensington,M,65464.00,859.29,2041.18,14
111,ABS,Alcohol Beverage Services,Leisure World,M,79534.02,392.91,0.00,21
112,ABS,Alcohol Beverage Services,Fallsgrove,F,70310.56,1586.14,0.00,18
113,ABS,Alcohol Beverage Services,Walnut Hill,F,47728.00,213.52,0.00,12
114,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488.00,881.35,3952.80,13
115,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488.00,869.90,3952.87,13
116,ABS,Alcohol Beverage Services,Goshen Crossing,F,67929.68,1278.65,0.00,18
117,ABS,Alcohol Beverage Services,Wholesale Operations,M,90728.22,244.38,0.00,21
118,ABS,Alcohol Beverage Services,King Farm,M,90848.00,0.00,1887.84,21
119,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660.00,12006.89,1859.78,12
120,ABS,Alcohol Beverage Services,Kingsview,M,78902.00,764.71,0.00,18
121,ABS,Alcohol Beverage Services,Aspen Hill,F,83758.58,0.00,0.00,21
122,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,59660.00,9366.26,0.00,12
123,ABS,Alcohol Beverage Services,Kingsview,M,90848.00,0.00,0.00,21
124,ABS,Alcohol Beverage Services,Walnut Hill,M,65464.00,637.18,2041.22,14
125,ABS,Alcohol Beverage Services,Cabin John,M,64556.26,460.42,0.00,14
126,ABS,Alcohol Beverage Services,Clarksburg Village,M,74723.62,0.00,0.00,21
127,ABS,Alcohol Beverage Services,Silver Spring,M,80539.77,174.25,0.00,21
128,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,76742.54,17731.76,0.00,20
129,ABS,Alcohol Beverage Services,Muddy Branch,M,60874.32,288.43,0.00,18
130,ABS,Alcohol Beverage Services,Beer Loading,M,51955.00,5197.79,1620.02,9
131,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,61892.87,5284.19,0.00,15
132,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,59800.00,2094.86,0.00,13
133,ABS,Alcohol Beverage Services,Kingsview,M,18574.40,0.00,0.00,12
134,ABS,Alcohol Beverage Services,Wheaton,M,78902.00,0.00,0.00,18
135,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,4260.90,0.00,12
136,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,44166.24,4354.12,0.00,15
137,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,59938.72,2062.91,0.00,13
138,ABS,Alcohol Beverage Services,Cloverly,F,65464.00,818.01,2041.21,14
139,ABS,Alcohol Beverage Services,Customer Service,F,64042.65,0.00,0.00,18
140,ABS,Alcohol Beverage Services,Cabin John,M,46951.18,983.78,0.00,12
141,ABS,Alcohol Beverage Services,Fallsgrove,F,90848.00,0.00,1048.80,21
142,ABS,Alcohol Beverage Services,Hampden Lane,F,69753.01,0.00,0.00,21
143,ABS,Alcohol Beverage Services,Administration,M,144148.63,0.00,0.00,M3
144,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,62488.00,2033.18,3952.80,13
145,ABS,Alcohol Beverage Services,Potomac,M,65632.47,1566.25,0.00,18
146,ABS,Alcohol Beverage Services,Flower Avenue,M,90848.00,0.00,0.00,21
147,ABS,Alcohol Beverage Services,Customer Service,M,78902.00,0.00,4622.00,18
148,ABS,Alcohol Beverage Services,Muddy Branch,M,62369.70,262.39,0.00,14
149,ABS,Alcohol Beverage Services,Aspen Hill,M,65464.00,2586.48,0.00,14
150,ABS,Alcohol Beverage Services,Downtown Rockville,M,64552.94,420.49,0.00,14
151,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,59800.00,1146.91,0.00,15
152,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,96819.21,0.00,0.00,25
153,ABS,Alcohol Beverage Services,IT Administration,M,126584.00,273.87,0.00,28
154,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,61330.38,556.46,0.00,15
155,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,61892.87,7708.89,0.00,15
156,ABS,Alcohol Beverage Services,Olney,M,76146.31,0.00,0.00,18
157,ABS,Alcohol Beverage Services,Cabin John,M,47728.00,1717.17,1855.19,12
158,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,109761.00,0.00,0.00,25
159,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,2354.64,0.00,12
160,ABS,Alcohol Beverage Services,Wheaton,M,47728.00,937.93,0.00,12
161,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52644.58,5003.26,0.00,10
162,ABS,Alcohol Beverage Services,Cabin John,M,47728.00,386.80,1646.30,12
163,ABS,Alcohol Beverage Services,Beer Loading,M,72208.80,9093.26,0.00,18
164,ABS,Alcohol Beverage Services,Potomac,F,47728.00,8.22,2124.08,12
165,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,49957.19,1461.71,0.00,13
166,ABS,Alcohol Beverage Services,Kensington,M,36899.78,604.13,0.00,12
167,ABS,Alcohol Beverage Services,Customer Service,F,61860.41,401.58,0.00,18
168,ABS,Alcohol Beverage Services,Hampden Lane,F,36534.43,529.63,0.00,12
169,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,51638.54,208.64,0.00,15
170,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,50681.20,779.23,0.00,13
171,ABS,Alcohol Beverage Services,Hampden Lane,M,50737.17,1355.06,0.00,14
172,ABS,Alcohol Beverage Services,Darnestown,M,54350.13,442.09,0.00,14
173,ABS,Alcohol Beverage Services,Silver Spring,F,36534.43,147.68,0.00,12
174,ABS,Alcohol Beverage Services,Clarksburg Village,M,51992.29,7.75,0.00,14
175,ABS,Alcohol Beverage Services,Silver Spring,M,50234.82,762.11,0.00,14
176,ABS,Alcohol Beverage Services,Seneca Meadows,M,38190.68,734.69,0.00,12
177,ABS,Alcohol Beverage Services,Muddy Branch,M,62376.07,225.93,0.00,14
178,ABS,Alcohol Beverage Services,Kensington,F,36899.78,512.38,0.00,12
179,ABS,Alcohol Beverage Services,White Oak,M,55258.33,0.00,0.00,18
180,ABS,Alcohol Beverage Services,Potomac,F,36899.78,64.53,0.00,12
181,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45484.36,1263.32,0.00,12
182,ABS,Alcohol Beverage Services,Fallsgrove,M,54375.73,50.10,0.00,14
183,ABS,Alcohol Beverage Services,Westwood,M,59193.52,1456.13,0.00,18
184,ABS,Alcohol Beverage Services,Fallsgrove,M,51993.02,0.00,0.00,14
185,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,43511.11,7843.90,0.00,12
186,ABS,Alcohol Beverage Services,Customer Service,F,72822.81,0.00,0.00,18
187,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,50680.97,3930.57,0.00,15
188,ABS,Alcohol Beverage Services,Aspen Hill,M,57205.84,0.00,0.00,18
189,ABS,Alcohol Beverage Services,Muddy Branch,M,22068.44,10.20,0.00,12
190,ABS,Alcohol Beverage Services,White Oak,M,40911.96,103.59,0.00,12
191,ABS,Alcohol Beverage Services,Potomac,M,50737.18,499.64,0.00,14
192,ABS,Alcohol Beverage Services,Burtonsville,F,39527.56,482.98,0.00,12
193,ABS,Alcohol Beverage Services,Wheaton,M,45360.00,249.87,0.00,12
194,ABS,Alcohol Beverage Services,Wheaton,M,23062.36,44.03,0.00,12
195,ABS,Alcohol Beverage Services,Hampden Lane,M,36899.78,1174.72,0.00,12
196,ABS,Alcohol Beverage Services,Seneca Meadows,M,65464.00,2191.22,0.00,14
197,ABS,Alcohol Beverage Services,Burtonsville,M,19903.07,47.12,0.00,12
198,ABS,Alcohol Beverage Services,White Oak,M,36899.78,145.87,0.00,12
199,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49356.65,1165.18,0.00,10
200,ABS,Alcohol Beverage Services,Silver Spring,M,22059.71,0.00,0.00,12
201,ABS,Alcohol Beverage Services,Beer Delivery Operations,F,39379.40,3963.38,0.00,10
202,ABS,Alcohol Beverage Services,Seneca Meadows,F,44916.63,695.28,0.00,12
203,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52455.06,3331.13,0.00,15
204,ABS,Alcohol Beverage Services,Leisure World,F,36899.78,72.93,0.00,12
205,ABS,Alcohol Beverage Services,White Oak,M,36742.87,618.68,0.00,12
206,ABS,Alcohol Beverage Services,King Farm,M,52522.24,54.90,0.00,14
207,ABS,Alcohol Beverage Services,Wholesale Operations,M,73435.07,1579.57,0.00,21
208,ABS,Alcohol Beverage Services,Olney,F,47162.20,486.74,0.00,12
209,ABS,Alcohol Beverage Services,Olney,M,38190.58,351.01,0.00,12
210,ABS,Alcohol Beverage Services,Westwood,M,58222.95,96.46,0.00,14
211,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,54291.41,3099.47,0.00,15
212,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,46069.00,1910.54,0.00,10
213,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,53932.73,1697.70,0.00,15
214,ABS,Alcohol Beverage Services,Seneca Meadows,M,37845.21,439.30,0.00,12
215,ABS,Alcohol Beverage Services,Darnestown,M,36534.43,1048.68,0.00,12
216,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,89188.69,4534.56,0.00,21
217,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,40940.00,1853.01,0.00,9
218,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,47285.70,3843.27,0.00,15
219,ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,53620.29,13276.04,0.00,17
220,ABS,Alcohol Beverage Services,Burtonsville,M,36534.43,148.26,0.00,12
221,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45034.02,392.99,0.00,12
222,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,43439.99,1339.13,0.00,15
223,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,47285.72,7446.24,0.00,13
224,ABS,Alcohol Beverage Services,Aspen Hill,M,18574.40,0.00,0.00,12
225,ABS,Alcohol Beverage Services,Muddy Branch,M,36534.43,129.95,0.00,12
226,ABS,Alcohol Beverage Services,Walnut Hill,M,36534.43,165.57,0.00,12
227,ABS,Alcohol Beverage Services,Cloverly,M,36534.43,348.53,0.00,12
228,ABS,Alcohol Beverage Services,Muddy Branch,M,36534.43,49.99,0.00,12
229,ABS,Alcohol Beverage Services,Burtonsville,F,50234.82,1138.84,0.00,14
230,ABS,Alcohol Beverage Services,Westwood,M,36534.43,497.53,0.00,12
231,ABS,Alcohol Beverage Services,Walnut Hill,F,50234.82,3030.34,0.00,14
232,ABS,Alcohol Beverage Services,Montrose,M,36534.43,1009.17,0.00,12
233,ABS,Alcohol Beverage Services,Aspen Hill,M,48536.08,418.03,0.00,14
234,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,34316.00,389.36,0.00,10
235,ABS,Alcohol Beverage Services,Cloverly,M,64697.35,0.00,0.00,18
236,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,52499.37,8347.84,0.00,17
237,ABS,Alcohol Beverage Services,Goshen Crossing,F,36534.43,28.02,0.00,12
238,ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,38451.20,2890.86,0.00,12
239,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,48026.00,1369.71,0.00,13
240,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,42584.50,1450.85,0.00,10
241,ABS,Alcohol Beverage Services,Kingsview,F,36534.42,153.60,0.00,12
242,ABS,Alcohol Beverage Services,Seneca Meadows,M,55258.29,0.00,0.00,18
243,ABS,Alcohol Beverage Services,Fallsgrove,F,36534.42,574.60,0.00,12
244,ABS,Alcohol Beverage Services,Walnut Hill,F,36534.42,388.10,0.00,12
245,ABS,Alcohol Beverage Services,Cloverly,M,50234.82,366.65,0.00,14
246,ABS,Alcohol Beverage Services,Westwood,M,36534.42,1152.39,0.00,12
247,ABS,Alcohol Beverage Services,Leisure World,M,36534.42,375.55,0.00,12
248,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49848.50,1381.42,0.00,15
249,ABS,Alcohol Beverage Services,Kensington,M,50234.82,2380.54,0.00,14
250,ABS,Alcohol Beverage Services,Muddy Branch,M,50234.82,745.95,0.00,14
251,ABS,Alcohol Beverage Services,Muddy Branch,F,36534.42,98.17,0.00,12
252,ABS,Alcohol Beverage Services,Cabin John,F,36534.42,406.77,0.00,12
253,ABS,Alcohol Beverage Services,Olney,M,49249.83,855.39,0.00,14
254,ABS,Alcohol Beverage Services,Poolesville,M,36534.42,229.99,0.00,12
255,ABS,Alcohol Beverage Services,Goshen Crossing,F,35298.98,102.33,0.00,12
256,ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,46842.96,6328.49,0.00,13
257,ABS,Alcohol Beverage Services,Kingsview,F,36534.42,575.93,0.00,12
258,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,43103.68,1462.66,0.00,10
259,ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,46402.53,4361.80,0.00,12
260,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,53399.48,3207.28,0.00,15
261,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,43103.70,565.20,0.00,13
262,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,43728.95,5196.36,0.00,13
263,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,44612.32,1281.21,0.00,12
264,ABS,Alcohol Beverage Services,Darnestown,M,35298.99,322.74,0.00,12
265,ABS,Alcohol Beverage Services,Wheaton,F,34105.27,640.24,0.00,12
266,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,44612.32,127.53,0.00,12
267,ABS,Alcohol Beverage Services,King Farm,F,36534.42,55.34,0.00,12
268,ABS,Alcohol Beverage Services,Clarksburg Village,M,36534.42,266.09,0.00,12
269,ABS,Alcohol Beverage Services,Muddy Branch,M,36534.42,180.45,0.00,12
270,ABS,Alcohol Beverage Services,Flower Avenue,M,50234.83,631.62,0.00,14
271,ABS,Alcohol Beverage Services,Kingsview,F,50234.83,649.67,0.00,14
272,ABS,Alcohol Beverage Services,Administrative Services,F,109761.00,0.00,0.00,25
273,ABS,Alcohol Beverage Services,Beer Loading,M,38451.20,3225.51,0.00,12
274,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52746.52,1370.03,0.00,15
275,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,42584.49,312.29,0.00,10
276,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45258.88,187.05,0.00,13
277,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,51593.70,35.03,0.00,15
278,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,36760.35,1106.24,0.00,10
279,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49848.99,6273.86,0.00,15
280,ABS,Alcohol Beverage Services,Flower Avenue,M,35298.99,2240.04,0.00,12
281,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45258.87,2401.71,0.00,12
282,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,2036.71,0.00,12
283,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,2311.04,0.00,12
284,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,1397.46,0.00,12
285,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43103.68,3228.05,0.00,13
286,ABS,Alcohol Beverage Services,Purchasing,M,100636.07,0.00,0.00,25
287,ABS,Alcohol Beverage Services,Silver Spring,F,35298.99,417.15,0.00,12
288,ABS,Alcohol Beverage Services,King Farm,F,53389.71,0.00,0.00,18
289,ABS,Alcohol Beverage Services,Seneca Meadows,M,48536.11,642.37,0.00,14
290,ABS,Alcohol Beverage Services,Downtown Rockville,F,48536.11,1431.53,0.00,14
291,ABS,Alcohol Beverage Services,Darnestown,F,35298.99,197.73,0.00,12
292,ABS,Alcohol Beverage Services,Silver Spring,M,48536.10,2406.01,0.00,14
293,ABS,Alcohol Beverage Services,Westwood,M,48536.11,1292.40,0.00,14
294,ABS,Alcohol Beverage Services,Director's Office,F,59775.11,0.00,0.00,18
295,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,43103.69,1892.74,0.00,12
296,ABS,Alcohol Beverage Services,Flower Avenue,M,35298.99,1288.22,0.00,12
297,ABS,Alcohol Beverage Services,Fallsgrove,M,35298.98,1065.56,0.00,12
298,ABS,Alcohol Beverage Services,White Oak,F,48536.11,3.77,0.00,14
299,ABS,Alcohol Beverage Services,Clarksburg Village,M,35298.98,55.42,0.00,12
300,ABS,Alcohol Beverage Services,Olney,M,32952.33,65.36,0.00,12
301,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,43439.53,2903.49,0.00,15
302,ABS,Alcohol Beverage Services,Beer Loading,M,43103.60,8724.34,0.00,12
303,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,49848.50,1265.53,0.00,15
304,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,41135.71,6335.67,0.00,10
305,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,39752.99,2784.35,0.00,10
306,ABS,Alcohol Beverage Services,Goshen Crossing,M,48527.12,574.96,0.00,14
307,ABS,Alcohol Beverage Services,Hampden Lane,M,35298.98,0.00,0.00,12
308,ABS,Alcohol Beverage Services,Olney,M,48536.10,0.00,0.00,14
309,ABS,Alcohol Beverage Services,Hampden Lane,M,53389.71,0.00,0.00,18
